Word,Neighbors,degree
in,[],0
the,['of'],1
of,['the'],1
a,"['another', 'an']",2
category,[],0
and,[],0
is,[],0
to,[],0
was,[],0
by,[],0
for,[],0
on,[],0
as,['also'],1
from,[],0
at,[],0
with,[],0
s,[],0
an,['a'],1
it,[],0
that,['actually'],1
also,['as'],1
which,[],0
first,"['second', 'third', 'fourth']",3
this,[],0
he,['she'],1
has,[],0
one,['only'],1
his,['her'],1
after,"['before', 'shortly']",2
who,['whom'],1
are,[],0
were,[],0
two,"['three', 'four', 'six', 'five', 'eight', 'seven', 'twelve', 'eleven', 'nine', 'fourteen']",10
its,[],0
new,[],0
be,[],0
or,['either'],1
had,['already'],1
but,"['though', 'however', 'although', 'nevertheless', 'nonetheless', 'unfortunately', 'because', 'yet', 'even', 'so']",10
born,[],0
people,[],0
their,[],0
been,"['already', 'recently', 'previously']",3
not,"['nor', 'neither', 'necessarily', 'yet', 'therefore', 'if', 'because', 'but', 'unless', 'so']",10
all,[],0
other,"['various', 'these', 'many', 'such', 'some']",5
1,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11']",10
during,[],0
have,[],0
may,[],0
time,[],0
year,[],0
when,"['finally', 'again', 'suddenly', 'whereupon']",4
they,[],0
into,[],0
united,['states'],1
known,['regarded'],1
american,[],0
2,"['3', '4', '1', '5', '6', '7', '8', '9', '11', '10']",10
where,[],0
up,[],0
years,"['months', 'days']",2
there,[],0
three,"['four', 'two', 'five', 'six', 'eight', 'seven', 'eleven', 'nine', 'twelve', 'fourteen']",10
over,[],0
only,['one'],1
national,[],0
later,"['afterwards', 'earlier', 'subsequently']",3
part,[],0
between,[],0
more,"['than', 'less']",2
most,[],0
world,[],0
3,"['4', '2', '5', '1', '6', '7', '8', '9', '11', '10']",10
states,['united'],1
made,[],0
then,"['finally', 'eventually', 'afterwards', 'briefly']",4
about,[],0
under,[],0
including,"['include', 'included']",2
second,"['third', 'fourth', 'fifth', 'first', 'sixth', 'seventh', 'eighth', 'tenth', 'ninth', 'eleventh']",10
out,['down'],1
while,['whilst'],1
some,"['many', 'these', 'other']",3
well,[],0
4,"['3', '5', '6', '7', '2', '8', '1', '9', '11', '10']",10
before,"['after', 'prior', 'shortly']",3
became,['becoming'],1
state,[],0
5,"['6', '4', '7', '3', '8', '9', '2', '1', '10', '11']",10
being,['having'],1
no,[],0
century,"['19th', '20th', '18th', '17th', '16th', '21st']",6
both,[],0
south,"['north', 'west', 'east']",3
city,[],0
family,[],0
until,[],0
through,[],0
since,[],0
many,"['some', 'several', 'countless', 'numerous', 'these', 'other', 'various']",7
university,"['faculty', 'alumni', 'college', 'polytechnic']",4
following,['prior'],1
such,"['include', 'other']",2
based,[],0
than,"['more', 'less']",2
north,"['south', 'east', 'west', 'northeast', 'southeast', 'southwest', 'northwest', 'eastern', 'southern']",9
